file,type,inSitemap,severity,code,detail
guides/jpg-to-heic-codec-license-webp-fallback-en.html,guide-en,True,P2,short-desc,description 6자
guides/jpg-to-heic-codec-license-webp-fallback-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/jpg-to-heic-codec-license-webp-fallback.html,guide,True,P1,no-desc,meta description 없음
guides/jpg-to-heic-codec-license-webp-fallback.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/json-schema-null-array-type-gaps-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/json-schema-null-array-type-gaps.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/json-to-xml-array-null-limits-en.html,guide-en,True,P2,short-desc,description 39자
guides/json-to-yaml-auto-quoting-reserved-words-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/json-to-yaml-auto-quoting-reserved-words.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/jsonpath-syntax-and-slicing-support-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/jsonpath-syntax-and-slicing-support.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/keyword-difficulty-rule-based-no-real-data-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/keyword-difficulty-rule-based-no-real-data.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/keyword-extractor-korean-particle-limitation.html,guide,True,P2,short-desc,description 15자
guides/keyword-grouping-search-intent-vs-clustering-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/keyword-grouping-search-intent-vs-clustering.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/loan-equal-payment-vs-equal-principal-interest-diff.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/lorem-ipsum-cicero-history-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/lorem-ipsum-cicero-history.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/macro-calculator-fixed-protein-ratio.html,guide,True,P2,fixed-wide,min-width:440px 고정폭(모바일 넘침 위험)
guides/margin-markup-percentage-confusion.html,guide,True,P2,fixed-wide,min-width:440px 고정폭(모바일 넘침 위험)
guides/markdown-xss-commonmark-history-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/markdown-xss-commonmark-history.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/md5-sha1-hash-vs-hmac-vs-crc32-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/md5-sha1-hash-vs-hmac-vs-crc32.html,guide,True,P2,short-desc,description 11자
guides/md5-sha1-hash-vs-hmac-vs-crc32.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/meta-description-google-rewrite-en.html,guide-en,True,P2,short-desc,description 26자
guides/meta-keywords-tag-google-2009-deprecated-en.html,guide-en,True,P2,short-desc,description 10자
guides/meta-keywords-tag-google-2009-deprecated-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/meta-keywords-tag-google-2009-deprecated.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/mortgage-pmi-vs-korea-ltv-20-percent-down.html,guide,True,P2,short-desc,description 32자
guides/mortgage-pmi-vs-korea-ltv-20-percent-down.html,guide,True,P2,fixed-wide,min-width:440px 고정폭(모바일 넘침 위험)
guides/national-pension-early-late-claim-timing.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/national-pension-employee-vs-regional.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/nginx-event-driven-vs-apache-thread-en.html,guide-en,True,P2,short-desc,description 24자
guides/ngram-analyzer-cjk-regex-language-bias-en.html,guide-en,True,P2,short-desc,description 19자
guides/ngram-analyzer-cjk-regex-language-bias-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/ngram-analyzer-cjk-regex-language-bias.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/number-converter-twos-complement-negative-en.html,guide-en,True,P2,short-desc,description 35자
